techno;name;environment;selectors;min;max;patterns;type;classification
Java;jsonPath;maven;com.jayway.jsonpath;;;;version;
Java;jettison;maven;org.codehaus.jettison;;;;version;
Java;json-simple;maven;com.googlecode.json-simple;;;;version;
Java;jackson;maven;org.codehaus.jackson;;;;version;
Java;jersey;maven;org.glassfish.jersey;;;;version;
Java;apache POI;maven;org.apache.poi;;;;version;
Java;spring;maven;org.springframework;;;;version;

Java;objenesis;maven;org.objenesis;;;;version;
Java;protobuf;maven;com.google.protobuf;;;;version;
Java;JNA;maven;net.java.dev.jna;;;;version;
Java;javassist;maven;org.javassist;;;;version;
Java;apache commons;maven;commons-logging;;;;version;
Java;apache commons;maven;commons-lang;;;;version;
Java;apache commons;maven;commons-collections;;;;version;
Java;apache commons;maven;commons-io;;;;version;
Java;apache commons;maven;commons-fileupload;;;;version;

Java;dom4j;filename;*.jar;;;\bdom4j\b;version;
Java;mx4j;filename;*.jar;;;\bmx4j\b;version;
Java;spring;filename;*.jar;1;2.x;\bspring.jar$;version;
Java;spring;filename;*.jar;2;2.x;\bspring-core.jar$;version;
Java;spring;filename;*.jar;1.2;1.2.x;\bspring-1.2\b;version;
Java;spring;filename;*.jar;3;3.x;\borg.springframework.core-3\b;version;
Java;spring;filename;*.jar;;;\bspring-core\b;version;
Java;JSF;filename;*.jar;;;\bjsf-api\b;version;
Java;JSF;filename;*.jar;2;2.x;\bfaces-api-2\b;version;
Java;JSF;filename;*.jar;2;2.x;\bjavax.faces-2\b;version;
Java;OFBiz;import;;;;org.apache.ofbiz;pattern;
Java;OFBiz;import;;;;org.ofbiz;pattern;
Java;OFBiz;code;*.xml;;;":\w+=""http:\/\/ofbiz.apache.org\/";pattern;
Java;Jspx;import;;;;eg.java.net.web.jspx;pattern;
Java;Oracle-ADF;code;adf-config.xml, adf-settings.xml;;;"\bxmlns(?::config)?=""http:\/\/xmlns.oracle.com\/";pattern;
Java;Oracle-ADF;import;;;;oracle.adf;pattern;
Java;vaadin;import;;;;com.vaadin;pattern;
Java;Sling;import;;;;org.apache.sling;pattern;
Java;Sling;import;;;;org.sling;pattern;
Java;TIBCO.EMS;import;;;;com.tibco.tibjms;pattern;
Java;Reactor Core;import;;;;reactor.core;pattern;
Java;Reactor;import;;;;reactor;pattern;
Java;RxJava;import;;;;rx;pattern;
Java;SAAJ;import;;;;javax.xml.soap;pattern;
Java;Apache Ignite;import;;;;org.apache.ignite;pattern;
Java;Apache Wicket;import;;;;org.apache.wicket;framework;


javascript;Meteor;code;;;;\bMeteor\.;framework;

javascript;knockout;filename;*.js;;;\bknockout\b;framework;
javascript;Spine;code;;;;\bSpine\.;framework;
javascript;underscore;code;;;;\b_\.\w+\(;framework;
javascript;Backbone;code;;;;(?:=|new\b|,|:)\s*Backbone\.(?:Model|Event|Collection|Router)\b;framework;
javascript;ExtJS;code;;;;\bExt\.;framework;


javascript;Redux;import;;;;redux;framework;



javascript;Sapui5;code;;;;\bsap\.ui\.;framework;


javascript;bootstrap;json;;;;;version;
javascript;handlebars;json;;;;;version;
javascript;socket.io;json;socket.io;;;;version;
javascript;socket.io;import;;;;socket.io;pattern;
javascript;geddy;json;geddy;;;;version;
javascript;geddy;import;;;;geddy;pattern;
javascript;LoopBack;json;LoopBack;;;;version;
javascript;LoopBack;import;;;;loopBack;pattern;
javascript;prototype;code;prototype.js;;;\bPrototype JavaScript framework\b;pattern;
javascript;RequireJS;code;main.js;;;^\s*require\.config\(;pattern;
javascript;RequireJS;code;;;;\brequirejs\(;pattern;
javascript;Marionette;code;;;;\bMarionette\.\w+View\.extend\b;pattern;
javascript;Backbone.BabySitter;json;;;;;version;
javascript;Backbone.Wreqr;json;;;;;version;
javascript;appaccelerator;;;;;;;
javascript;Less;json;less;;;;version;


C++;boost;code;;;;#include <boost/(\w+/)?\w+\.hpp>;pattern;
C++;STL;code;;;;std::(array|deque|forward_list|list|map|multimap|priotiy_queue|queue|multiset|set|stack|vector|unordered_map|unordered_multimap|unordered_set|unordered_multiset|)\b;pattern;
C++;STL;code;;;;#include <(array|deque|forward_list|list|map|multimap|priotiy_queue|queue|multiset|set|stack|vector|unordered_map|unordered_multimap|unordered_set|unordered_multiset|)>;pattern;
C++;RogueWave SourcePro;code;;;;#include\s+<rw/;pattern;
C++;RogueWave SourcePro;code;;;;#include\s+"rw/;pattern;
C++;CppCMS;code;;;;#include <cppcms/application\.h>;pattern;
C++;fltk;code;;;;#include <fltk/\w+\.h>;pattern;
C++;fltk;code;;;;\busing namespace fltk\b|\bfltk::;pattern;
C++;Reason;code;;;;\busing namespace Reason::\w+;pattern;
C++;DirectX;code;;;;#include <d3dx?\d+\.h>;pattern;
C++;JUCE;code;;;;#include <juce_\w+\.h>;pattern;
C++;Platinum;code;;;;#include <Pt/\w+\.h>;pattern;
C++;Wt;code;;;;"#include [<""]Wt/WBreak[>""]";pattern;
C++;ultimate++;code;;;;(?:\busing namespace Upp\b|\bUpp::);pattern;
C++;POCO;code;;;;"#include [<""]Poco/\w+\.h[>""]";pattern;
C++;POCO;code;;;;(?:\busing namespace Poco\b|\bPoco::);pattern;
C++;ACE;code;;;;#include\s+[<"]ace\b;pattern;
C++;TAO;code;;;;#include\s+[<"]tao\b;pattern;
C++;Tuxedo;code;;;;#include\s+[<"]atmi\.h\b;pattern;

C#;CSLA;import;;;;CSLA;pattern;
C#;Aforge;import;;;;Aforge;pattern;
C#;monoRail;import;;;;Castle.MonoRail;pattern;



PHP;Agavi;code;routing.xml;;;"\bxmlns(:ae)?=""http://agavi.org\/";pattern;
PHP;Yii;code;;;;\bYii::createWebApplication\(;pattern;
PHP;Yii;code;;;;\bYii::;pattern;
PHP;Phalcon;code;;;;\b(?:use|new|extends)Phalcon\\\\;pattern;
PHP;Lithium;code;;;;\bclass\s+\w+\s+extends\s+\\\\lithium\\\\;pattern;
PHP;SilverStripe;filename;_ss_environment.php;;;;;
PHP;FuelPHP;code;;;;\b(?:use|new|extends)\s+Fuel\\\\core\\\\;pattern;
PHP;Zend;code;;;;\b(?:use|new|extends)\s+Zend\\\\;pattern;
PHP;Midgard;code;;;;midgardmvc_core;pattern;
PHP;Zeta;code;;;;\bezcBase\w*::;pattern;
PHP;CakePHP;code;;;;\b(?:use|new|extends)\s+Cake\\\\;pattern;
PHP;CakePHP;filename;*.ctp;;;;;
PHP;Atomik;code;;;;\bAtomik::run\(;pattern;
PHP;Xyster;code;;;;\bXyster(?:_Acl|Collection|Controller|Data|Date|Db|Enum|Filter|Orm|Type|Validate);pattern;

PHP;Symfony;code;;;;\b(?:use|new|extends)\s+Symfony\\\\Component\\\\;framework;


Python;Grok;code;;;;(?:from|import)\s+grok\b;pattern;
Python;Pylons;code;;;;(?:from|import)\s+pylons\b;pattern;
Python;WebOb;code;;;;(?:from|import)\s+webob\b;pattern;
Python;SubstanceD;code;;;;(?:from|import)\s+substanced\b;pattern;
Python;AcidFS;code;;;;(?:from|import)\s+acidfs\b;pattern;
Python;Deform;code;;;;(?:from|import)\s+deform\b;pattern;
Python;Waitress;code;;;;(?:from|import)\s+waitress\b;pattern;
Python;TurboGears;code;;;;(?:from|import)\s+tg\b;pattern;
Python;Twisted;code;;;;(?:from|import)\s+twisted\b;pattern;
Python;Zope;code;;;;(?:from|import)\s+zope\b;pattern;
Python;Scrapy;code;;;;(?:from|import)\s+scrapy\b;pattern;
Python;pyjs;code;;;;(?:from|import)\s+pyj[sd]\b;pattern;
Python;CubicWeb;code;;;;(?:from|import)\s+cubicweb\b;pattern;

javascript;polymer;json;polymer;;;;version;
HTML;Polymer;code;;;;"/polymer/(?:polymer.html)|(?:polymer-element.html"")""";pattern;

C#;IdentityServer3;import;;;;IdentityServer3\.;pattern;


;;;;;;;;


javascript;snmp(javascript);import;;;;snmpjs-new;pattern;
javascript;snmp(javascript);import;;;;net-snmp;pattern;

Java;snmp(Java);import;;;;org.snmp4j;pattern;
Java;snmp(Java);import;;;;monfox.toolkit.snmp;pattern;
Java;snmp(Java);import;;;;com.sun.jmx.snmp;pattern;
Java;snmp(Java);import;;;;com.adventnet.snmp;pattern;


;;;;;;;;

Java;Zuul;import;;;;org.springframework.cloud.netflix.zuul;pattern;

YAML;Eureka;code;;;;eureka:;pattern;
Java;Eureka;import;;;;org.springframework.cloud.netflix.eureka;pattern;

Java;Ribbon;import;;;;com.netflix.ribbon;pattern;

javascript;seneca;json;seneca;;;;version;
javascript;seneca;import;;;;seneca;pattern;

Conf;nginx;filename;nginx.conf;;;;pattern;

Java;AWS.IoT(Java);import;;;;com.amazonaws.services.iot;pattern;
Java;AWS.IoT(Java);import;;;;com.amazonaws.services.iotdata;pattern;


YAML;OpenApi;code;;;;openapi:;pattern;


;;;;;;;;

COBOL;Repository;code;;;;\s(?i)REPOSITORY\.;pattern;
COBOL;Object oriented COBOL;code;;;;......[^*]\s+(?i)CLASS-ID\b;pattern;


Java;spring batch;import;;;;org.springframework.batch;framework;
Java;jBeret;import;;;;org.jberet;pattern;
Java;jBeret;maven;org.jberet;;;;version;


Java;tiles;filename;*.xml;;;tiles.*;framework;

Java;JSF;import;;;;javax.faces;framework;

Java;spring webflow;import;;;;org.springframework.webflow;framework;
Java;spring webflow;maven;org.springframework.webflow;;;;version;

Java;lombok;import;;;;lombok;framework;

Java;spring AOP;import;;;;org.aspectj.lang.annotation;framework;

Java;spring data;maven;org.springframework.data;;;;version;
Java;spring data;import;;;;org.springframework.data.jpa;framework;



Java;GWT;filename;*.xml;;;.*.gwt;framework;
Java;GWT;import;;;;com.google.gwt;framework;

Java;Java.swing;import;;;;javax.swing.AbstractAction;framework;
Java;Java.swing;import;;;;javax.swing.AbstractAction.AbstractAction;framework;
Java;Java.swing;import;;;;javax.swing.AbstractButton;framework;
Java;Java.swing;import;;;;javax.swing.AbstractCellEditor;framework;
Java;Java.swing;import;;;;javax.swing.AbstractListModel;framework;
Java;Java.swing;import;;;;javax.swing.Box;framework;
Java;Java.swing;import;;;;javax.swing.JApplet;framework;
Java;Java.swing;import;;;;javax.swing.JButton.JButton;framework;
Java;Java.swing;import;;;;javax.swing.JComboBox;framework;
Java;Java.swing;import;;;;javax.swing.JComponent;framework;
Java;Java.swing;import;;;;javax.swing.JDialog;framework;
Java;Java.swing;import;;;;javax.swing.JEditorPane;framework;
Java;Java.swing;import;;;;javax.swing.JFrame;framework;
Java;Java.swing;import;;;;javax.swing.JFrame.JFrame;framework;
Java;Java.swing;import;;;;javax.swing.JInternalFrame;framework;
Java;Java.swing;import;;;;javax.swing.JInternalFrame.JDesktopIcon;framework;
Java;Java.swing;import;;;;javax.swing.JList;framework;
Java;Java.swing;import;;;;javax.swing.JMenu;framework;
Java;Java.swing;import;;;;javax.swing.JMenu.JMenu;framework;
Java;Java.swing;import;;;;javax.swing.JMenuItem;framework;
Java;Java.swing;import;;;;javax.swing.JPanel.JPanel;framework;
Java;Java.swing;import;;;;javax.swing.JPopupMenu;framework;
Java;Java.swing;import;;;;javax.swing.JSeparator;framework;
Java;Java.swing;import;;;;javax.swing.JSlider;framework;
Java;Java.swing;import;;;;javax.swing.JSpinner;framework;
Java;Java.swing;import;;;;javax.swing.JTabbedPane;framework;
Java;Java.swing;import;;;;javax.swing.JTextField;framework;
Java;Java.swing;import;;;;javax.swing.JToggleButton.JToggleButton;framework;
Java;Java.swing;import;;;;javax.swing.JTree;framework;
Java;Java.swing;import;;;;javax.swing.JViewport;framework;
